user_id,movie_id,rating
1,108,2
1,81,3
1,210,3
1,134,4
1,207,3
1,51,4
1,42,4
1,451,1
1,69,4
1,54,4
2,218,5
2,426,4
3,378,4
4,250,4
4,85,4
4,73,4
4,209,3
4,194,5
4,145,3
4,98,5
4,56,4
5,274,3
5,300,2
5,441,1
5,246,2
5,273,2
5,53,1
6,10,5
6,258,1
6,110,3
6,227,4
6,252,1
6,358,3
7,102,5
7,198,4
7,151,5
7,320,1
7,191,4
8,17,2
8,293,5
8,499,1
8,436,4
8,191,1
8,195,3
8,35,4
8,416,1
8,373,3
9,266,1
9,110,3
9,308,3
9,223,4
9,441,1
9,412,1
9,12,1
9,213,5
9,86,3
10,290,1
10,36,3
10,231,5
10,488,4
10,21,5
10,158,4
11,442,4
11,484,2
11,386,3
11,382,4
11,151,2
11,451,3
11,193,2
11,248,5
11,246,5
12,393,5
12,362,3
12,155,5
12,314,2
12,291,1
12,381,5
12,119,2
13,379,3
13,28,2
13,236,5
13,100,3
13,436,1
13,438,4
13,409,5
14,39,1
14,379,1
14,350,2
14,284,1
14,7,3
14,271,3
15,350,3
15,63,2
15,56,2
16,74,2
17,457,3
17,382,2
17,479,5
17,210,2
17,271,4
17,11,2
17,326,4
17,177,3
18,112,2
18,174,3
18,341,5
18,449,1
19,195,5
20,484,2
20,380,2
20,256,4
21,366,4
21,257,2
21,408,3
21,270,4
21,445,1
21,74,5
21,488,3
21,349,2
22,91,2
22,440,2
22,243,3
22,149,4
22,307,2
22,66,1
22,332,1
22,56,4
23,384,4
23,398,1
23,141,5
23,487,5
23,60,2
24,77,2
25,285,5
25,269,3
25,457,5
25,402,5
25,289,4
25,393,4
25,237,2
26,272,5
26,445,3
26,111,5
27,277,3
28,90,5
28,374,5
28,82,3
29,342,1
29,204,2
29,419,3
29,23,5
30,208,5
30,415,2
30,33,3
30,174,2
30,226,2
30,304,4
31,281,1
32,494,4
32,488,4
32,144,1
32,446,3
32,325,2
32,88,3
32,7,5
32,303,3
33,148,5
33,180,5
33,151,5
34,236,4
34,142,4
34,158,5
34,233,4
34,481,3
35,76,3
35,200,3
36,238,5
36,61,1
36,154,1
36,342,1
36,137,4
36,132,4
36,294,3
36,316,3
36,428,4
37,75,5
38,184,4
38,270,2
38,404,5
39,102,4
39,32,1
39,38,3
39,332,5
39,350,1
39,289,5
39,421,5
39,457,3
39,333,3
40,132,5
40,407,4
40,448,2
40,127,2
40,316,2
40,289,3
41,311,5
41,301,5
41,175,5
41,346,2
41,292,2
41,458,1
41,271,3
41,216,2
42,207,4
42,336,1
42,146,5
42,347,1
42,134,1
42,70,3
43,273,2
43,195,3
43,380,2
43,147,5
43,71,5
43,102,5
43,142,1
43,467,3
43,410,4
44,478,3
45,351,3
46,134,4
46,25,5
47,432,1
47,255,4
47,219,4
47,209,2
47,413,5
47,450,3
47,287,3
47,351,4
47,431,4
47,146,5
48,353,4
48,414,1
48,335,1
48,180,3
48,61,2
48,399,5
48,419,5
48,305,5
48,463,5
48,337,1
49,172,1
49,361,3
49,366,3
49,1,3
49,205,2
49,109,3
49,103,5
49,330,5
50,382,2
51,43,4
51,326,1
52,425,2
52,142,2
52,387,4
52,169,4
52,70,4
52,176,3
52,253,1
52,399,4
52,391,2
52,16,1
53,210,1
53,20,2
53,236,5
53,312,1
54,346,5
54,187,3
54,336,3
